timestamp,endpoint,symbol,resolution,range_from,range_to,date_format,cont_flag,oi_flag,status_code,message
2026-09-24 12:37:22,/history,BSE:BANKEX-INDEX,5S,2026-06-16,2026-07-16,1,1,1,200,no_data
2026-09-24 12:37:22,/history,BSE:BANKEX-INDEX,5S,2026-07-17,2026-08-16,1,1,1,200,no_data
2026-09-24 12:37:25,/history,BSE:BANKEX-INDEX,5S,2026-08-17,2026-09-16,1,1,1,200,ok
2026-09-24 12:37:26,/history,BSE:BANKEX-INDEX,5S,2026-09-17,2026-09-24,1,1,1,200,ok
2026-09-24 12:37:29,/history,BSE:BANKEX-INDEX,1,2026-06-16,2026-09-24,1,1,1,200,ok
2026-09-24 12:37:30,/history,BSE:BANKEX-INDEX,5,2026-06-16,2026-09-24,1,1,1,200,ok
2026-09-24 12:37:30,/history,BSE:BANKEX-INDEX,60,2026-06-16,2026-09-24,1,1,1,200,ok
2026-09-24 12:37:30,/history,BSE:BANKEX-INDEX,D,2026-06-16,2026-09-24,1,1,1,200,ok
2026-09-24 12:37:31,/history,BSE:BANKEX26SEPFUT,5S,2026-06-16,2026-07-16,1,1,1,200,ok
2026-09-24 12:37:32,/history,BSE:BANKEX26SEPFUT,5S,2026-07-17,2026-08-16,1,1,1,200,ok
2026-09-24 12:37:34,/history,BSE:BANKEX26SEPFUT,5S,2026-08-17,2026-09-16,1,1,1,200,ok
2026-09-24 12:37:34,/history,BSE:BANKEX26SEPFUT,5S,2026-09-17,2026-09-24,1,1,1,200,ok
2026-09-24 12:37:37,/history,BSE:BANKEX26SEPFUT,1,2026-06-16,2026-09-24,1,1,1,200,ok
2026-09-24 12:37:37,/history,BSE:BANKEX26SEPFUT,5,2026-06-16,2026-09-24,1,1,1,200,ok
2026-09-24 12:37:37,/history,BSE:BANKEX26SEPFUT,60,2026-06-16,2026-09-24,1,1,1,200,ok
2026-09-24 12:37:38,/history,BSE:BANKEX26SEPFUT,D,2026-06-16,2026-09-24,1,1,1,200,ok
2026-09-24 12:37:38,/history,BSE:BANKEX26SEP56700CE,5S,2026-06-16,2026-07-16,1,1,1,200,no_data
2026-09-24 12:37:38,/history,BSE:BANKEX26SEP56700CE,5,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:38,/history,BSE:BANKEX26SEP56700CE,1,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:38,/history,BSE:BANKEX26SEP56700PE,5S,2026-06-16,2026-07-16,1,1,1,200,no_data
2026-09-24 12:37:38,/history,BSE:BANKEX26SEP56700PE,1,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:38,/history,BSE:BANKEX26SEP56700CE,5S,2026-07-17,2026-08-16,1,1,1,200,no_data
2026-09-24 12:37:38,/history,BSE:BANKEX26SEP56700PE,5,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:38,/history,BSE:BANKEX26SEP56700CE,60,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:39,/history,BSE:BANKEX26SEP56700CE,5S,2026-08-17,2026-09-16,1,1,1,200,no_data
2026-09-24 12:37:39,/history,BSE:BANKEX26SEP56700PE,D,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:39,/history,BSE:BANKEX26SEP56700CE,D,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:39,/history,BSE:BANKEX26SEP56700PE,5S,2026-07-17,2026-08-16,1,1,1,200,no_data
2026-09-24 12:37:39,/history,BSE:BANKEX26SEP56700PE,60,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:39,/history,BSE:BANKEX26SEP56700CE,5S,2026-09-17,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:39,/history,BSE:BANKEX26SEP56800CE,5S,2026-06-16,2026-07-16,1,1,1,200,no_data
2026-09-24 12:37:39,/history,BSE:BANKEX26SEP56800PE,5S,2026-06-16,2026-07-16,1,1,1,200,no_data
2026-09-24 12:37:39,/history,BSE:BANKEX26SEP56700PE,5S,2026-08-17,2026-09-16,1,1,1,200,no_data
2026-09-24 12:37:40,/history,BSE:BANKEX26SEP56800PE,1,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:40,/history,BSE:BANKEX26SEP56800PE,5S,2026-07-17,2026-08-16,1,1,1,200,no_data
2026-09-24 12:37:40,/history,BSE:BANKEX26SEP56800CE,5S,2026-07-17,2026-08-16,1,1,1,200,no_data
2026-09-24 12:37:40,/history,BSE:BANKEX26SEP56800CE,1,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:40,/history,BSE:BANKEX26SEP56700PE,5S,2026-09-17,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:40,/history,BSE:BANKEX26SEP56800CE,5,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:40,/history,BSE:BANKEX26SEP56800PE,5S,2026-08-17,2026-09-16,1,1,1,200,no_data
2026-09-24 12:37:40,/history,BSE:BANKEX26SEP56800CE,5S,2026-08-17,2026-09-16,1,1,1,200,no_data
2026-09-24 12:37:40,/history,BSE:BANKEX26SEP56800PE,60,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:41,/history,BSE:BANKEX26SEP56800PE,5S,2026-09-17,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:41,/history,BSE:BANKEX26SEP56800CE,5S,2026-09-17,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:41,/history,BSE:BANKEX26SEP56800CE,D,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:41,/history,BSE:BANKEX26SEP56800PE,5,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:41,/history,BSE:BANKEX26SEP56800CE,60,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:41,/history,BSE:BANKEX26SEP56800PE,D,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:41,/history,BSE:BANKEX26SEP56900PE,5S,2026-06-16,2026-07-16,1,1,1,200,no_data
2026-09-24 12:37:41,/history,BSE:BANKEX26SEP56900CE,1,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:41,/history,BSE:BANKEX26SEP56900CE,5,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:42,/history,BSE:BANKEX26SEP56900CE,5S,2026-06-16,2026-07-16,1,1,1,200,no_data
2026-09-24 12:37:42,/history,BSE:BANKEX26SEP56900PE,5S,2026-07-17,2026-08-16,1,1,1,200,no_data
2026-09-24 12:37:42,/history,BSE:BANKEX26SEP56900PE,5,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:42,/history,BSE:BANKEX26SEP56900PE,1,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:42,/history,BSE:BANKEX26SEP56900CE,60,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:42,/history,BSE:BANKEX26SEP56900CE,5S,2026-07-17,2026-08-16,1,1,1,200,no_data
2026-09-24 12:37:42,/history,BSE:BANKEX26SEP56900PE,60,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:42,/history,BSE:BANKEX26SEP56900CE,D,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:42,/history,BSE:BANKEX26SEP56900CE,5S,2026-08-17,2026-09-16,1,1,1,200,no_data
2026-09-24 12:37:43,/history,BSE:BANKEX26SEP56900PE,5S,2026-08-17,2026-09-16,1,1,1,200,no_data
2026-09-24 12:37:43,/history,BSE:BANKEX26SEP57000PE,5S,2026-06-16,2026-07-16,1,1,1,200,no_data
2026-09-24 12:37:43,/history,BSE:BANKEX26SEP57000CE,5S,2026-06-16,2026-07-16,1,1,1,200,no_data
2026-09-24 12:37:43,/history,BSE:BANKEX26SEP56900CE,5S,2026-09-17,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:43,/history,BSE:BANKEX26SEP56900PE,5S,2026-09-17,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:43,/history,BSE:BANKEX26SEP56900PE,D,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:43,/history,BSE:BANKEX26SEP57000CE,5S,2026-07-17,2026-08-16,1,1,1,200,no_data
2026-09-24 12:37:43,/history,BSE:BANKEX26SEP57000CE,1,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:43,/history,BSE:BANKEX26SEP57000PE,5S,2026-07-17,2026-08-16,1,1,1,200,no_data
2026-09-24 12:37:44,/history,BSE:BANKEX26SEP57000CE,5,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:44,/history,BSE:BANKEX26SEP57000CE,5S,2026-08-17,2026-09-16,1,1,1,200,no_data
2026-09-24 12:37:44,/history,BSE:BANKEX26SEP57000PE,1,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:44,/history,BSE:BANKEX26SEP57000PE,5,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:44,/history,BSE:BANKEX26SEP57000CE,60,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:44,/history,BSE:BANKEX26SEP57000PE,5S,2026-08-17,2026-09-16,1,1,1,200,no_data
2026-09-24 12:37:44,/history,BSE:BANKEX26SEP57000CE,D,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:44,/history,BSE:BANKEX26SEP57000PE,5S,2026-09-17,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:45,/history,BSE:BANKEX26SEP57000PE,60,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:45,/history,BSE:BANKEX26SEP57000CE,5S,2026-09-17,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:45,/history,BSE:BANKEX26SEP57100CE,5S,2026-06-16,2026-07-16,1,1,1,200,no_data
2026-09-24 12:37:45,/history,BSE:BANKEX26SEP57100PE,1,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:45,/history,BSE:BANKEX26SEP57100PE,5S,2026-06-16,2026-07-16,1,1,1,200,no_data
2026-09-24 12:37:45,/history,BSE:BANKEX26SEP57100CE,1,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:45,/history,BSE:BANKEX26SEP57100CE,5,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:45,/history,BSE:BANKEX26SEP57100PE,5S,2026-07-17,2026-08-16,1,1,1,200,no_data
2026-09-24 12:37:46,/history,BSE:BANKEX26SEP57100CE,5S,2026-07-17,2026-08-16,1,1,1,200,no_data
2026-09-24 12:37:46,/history,BSE:BANKEX26SEP57000PE,D,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:46,/history,BSE:BANKEX26SEP57100PE,5,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:46,/history,BSE:BANKEX26SEP57100CE,5S,2026-08-17,2026-09-16,1,1,1,200,no_data
2026-09-24 12:37:46,/history,BSE:BANKEX26SEP57100CE,D,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:46,/history,BSE:BANKEX26SEP57100PE,60,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:46,/history,BSE:BANKEX26SEP57100PE,5S,2026-08-17,2026-09-16,1,1,1,200,no_data
2026-09-24 12:37:46,/history,BSE:BANKEX26SEP57100CE,60,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:46,/history,BSE:BANKEX26SEP57100CE,5S,2026-09-17,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:46,/history,BSE:BANKEX26SEP57200CE,5S,2026-06-16,2026-07-16,1,1,1,200,no_data
2026-09-24 12:37:47,/history,BSE:BANKEX26SEP57100PE,D,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:47,/history,BSE:BANKEX26SEP57200PE,1,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:47,/history,BSE:BANKEX26SEP57200CE,1,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:47,/history,BSE:BANKEX26SEP57200CE,5,2026-06-16,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:47,/history,BSE:BANKEX26SEP57100PE,5S,2026-09-17,2026-09-24,1,1,1,200,no_data
2026-09-24 12:37:47,/history,BSE:BANKEX26SEP57200PE,5S,2026-06-16,2026-07-16,1,1,1,200,no_data
2026-09-24 12:37:47,/history,BSE:BANKEX26SEP57200CE,5S,2026-07-17,2026-08-16,1,1,1,200,no_data
2026-09-24 12:37:47,/history,BSE:BANKEX26SEP57200PE,5,2026-06-16,2026-09-24,1,1,1,200,no_data
