timestamp,endpoint,symbol,resolution,range_from,range_to,date_format,cont_flag,oi_flag,status_code,message
2026-09-17 11:20:35,/history,BSE:SENSEX-INDEX,5S,2026-06-09,2026-07-09,1,1,1,200,no_data
2026-09-17 11:20:36,/history,BSE:SENSEX-INDEX,5S,2026-07-10,2026-08-09,1,1,1,200,no_data
2026-09-17 11:20:38,/history,BSE:SENSEX-INDEX,5S,2026-08-10,2026-09-09,1,1,1,200,ok
2026-09-17 11:20:39,/history,BSE:SENSEX-INDEX,5S,2026-09-10,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:42,/history,BSE:SENSEX-INDEX,1,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:43,/history,BSE:SENSEX-INDEX,5,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:43,/history,BSE:SENSEX-INDEX,60,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:44,/history,BSE:SENSEX-INDEX,D,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:46,/history,BSE:SENSEX26SEPFUT,5S,2026-06-09,2026-07-09,1,1,1,200,ok
2026-09-17 11:20:48,/history,BSE:SENSEX26SEPFUT,5S,2026-07-10,2026-08-09,1,1,1,200,ok
2026-09-17 11:20:50,/history,BSE:SENSEX26SEPFUT,5S,2026-08-10,2026-09-09,1,1,1,200,ok
2026-09-17 11:20:51,/history,BSE:SENSEX26SEPFUT,5S,2026-09-10,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:56,/history,BSE:SENSEX26SEPFUT,1,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:57,/history,BSE:SENSEX26SEPFUT,5,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:58,/history,BSE:SENSEX26SEPFUT,60,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:58,/history,BSE:SENSEX26SEPFUT,D,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:58,/history,BSE:SENSEX2691769300PE,5S,2026-06-09,2026-07-09,1,1,1,200,no_data
2026-09-17 11:20:58,/history,BSE:SENSEX2691769300CE,5,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:20:58,/history,BSE:SENSEX2691769300CE,5S,2026-06-09,2026-07-09,1,1,1,200,no_data
2026-09-17 11:20:58,/history,BSE:SENSEX2691769300PE,1,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:58,/history,BSE:SENSEX2691769300CE,1,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:20:58,/history,BSE:SENSEX2691769300PE,5S,2026-07-10,2026-08-09,1,1,1,200,no_data
2026-09-17 11:20:59,/history,BSE:SENSEX2691769300PE,5,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:59,/history,BSE:SENSEX2691769300CE,5S,2026-07-10,2026-08-09,1,1,1,200,no_data
2026-09-17 11:20:59,/history,BSE:SENSEX2691769300PE,5S,2026-08-10,2026-09-09,1,1,1,200,no_data
2026-09-17 11:20:59,/history,BSE:SENSEX2691769300CE,D,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:20:59,/history,BSE:SENSEX2691769300PE,60,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:59,/history,BSE:SENSEX2691769300CE,5S,2026-08-10,2026-09-09,1,1,1,200,no_data
2026-09-17 11:20:59,/history,BSE:SENSEX2691769300PE,5S,2026-09-10,2026-09-17,1,1,1,200,ok
2026-09-17 11:20:59,/history,BSE:SENSEX2691769400CE,5S,2026-06-09,2026-07-09,1,1,1,200,no_data
2026-09-17 11:21:00,/history,BSE:SENSEX2691769300PE,D,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:00,/history,BSE:SENSEX2691769300CE,60,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:00,/history,BSE:SENSEX2691769400PE,1,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:00,/history,BSE:SENSEX2691769300CE,5S,2026-09-10,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:00,/history,BSE:SENSEX2691769400CE,5S,2026-07-10,2026-08-09,1,1,1,200,no_data
2026-09-17 11:21:00,/history,BSE:SENSEX2691769400CE,1,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:00,/history,BSE:SENSEX2691769400PE,5S,2026-06-09,2026-07-09,1,1,1,200,no_data
2026-09-17 11:21:00,/history,BSE:SENSEX2691769400CE,5,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:00,/history,BSE:SENSEX2691769400PE,5,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:00,/history,BSE:SENSEX2691769400CE,5S,2026-08-10,2026-09-09,1,1,1,200,no_data
2026-09-17 11:21:01,/history,BSE:SENSEX2691769400CE,D,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:01,/history,BSE:SENSEX2691769400CE,60,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:01,/history,BSE:SENSEX2691769400PE,D,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:01,/history,BSE:SENSEX2691769400PE,60,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:01,/history,BSE:SENSEX2691769500PE,5S,2026-06-09,2026-07-09,1,1,1,200,no_data
2026-09-17 11:21:01,/history,BSE:SENSEX2691769500CE,5S,2026-06-09,2026-07-09,1,1,1,200,no_data
2026-09-17 11:21:01,/history,BSE:SENSEX2691769400CE,5S,2026-09-10,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:01,/history,BSE:SENSEX2691769400PE,5S,2026-07-10,2026-08-09,1,1,1,200,no_data
2026-09-17 11:21:01,/history,BSE:SENSEX2691769500PE,5S,2026-07-10,2026-08-09,1,1,1,200,no_data
2026-09-17 11:21:02,/history,BSE:SENSEX2691769400PE,5S,2026-08-10,2026-09-09,1,1,1,200,no_data
2026-09-17 11:21:02,/history,BSE:SENSEX2691769500CE,5S,2026-07-10,2026-08-09,1,1,1,200,no_data
2026-09-17 11:21:02,/history,BSE:SENSEX2691769400PE,5S,2026-09-10,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:02,/history,BSE:SENSEX2691769500PE,5S,2026-08-10,2026-09-09,1,1,1,200,no_data
2026-09-17 11:21:02,/history,BSE:SENSEX2691769500CE,1,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:02,/history,BSE:SENSEX2691769500PE,1,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:02,/history,BSE:SENSEX2691769500CE,5S,2026-08-10,2026-09-09,1,1,1,200,no_data
2026-09-17 11:21:03,/history,BSE:SENSEX2691769500CE,5,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:03,/history,BSE:SENSEX2691769500CE,60,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:03,/history,BSE:SENSEX2691769500PE,5,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:03,/history,BSE:SENSEX2691769500PE,5S,2026-09-10,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:03,/history,BSE:SENSEX2691769500PE,60,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:03,/history,BSE:SENSEX2691769500CE,D,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:03,/history,BSE:SENSEX2691769600CE,5S,2026-06-09,2026-07-09,1,1,1,200,no_data
2026-09-17 11:21:03,/history,BSE:SENSEX2691769500PE,D,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:03,/history,BSE:SENSEX2691769500CE,5S,2026-09-10,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:04,/history,BSE:SENSEX2691769600CE,5,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:04,/history,BSE:SENSEX2691769600PE,5S,2026-06-09,2026-07-09,1,1,1,200,no_data
2026-09-17 11:21:04,/history,BSE:SENSEX2691769600CE,5S,2026-07-10,2026-08-09,1,1,1,200,no_data
2026-09-17 11:21:04,/history,BSE:SENSEX2691769600CE,1,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:04,/history,BSE:SENSEX2691769600PE,1,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:04,/history,BSE:SENSEX2691769600CE,60,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:04,/history,BSE:SENSEX2691769600PE,5S,2026-07-10,2026-08-09,1,1,1,200,no_data
2026-09-17 11:21:04,/history,BSE:SENSEX2691769600CE,5S,2026-08-10,2026-09-09,1,1,1,200,no_data
2026-09-17 11:21:04,/history,BSE:SENSEX2691769600PE,60,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:05,/history,BSE:SENSEX2691769600PE,D,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:05,/history,BSE:SENSEX2691769600PE,5,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:05,/history,BSE:SENSEX2691769600CE,D,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:05,/history,BSE:SENSEX2691769600PE,5S,2026-08-10,2026-09-09,1,1,1,200,no_data
2026-09-17 11:21:05,/history,BSE:SENSEX2691769700CE,5S,2026-06-09,2026-07-09,1,1,1,200,no_data
2026-09-17 11:21:05,/history,BSE:SENSEX2691769700PE,5S,2026-06-09,2026-07-09,1,1,1,200,no_data
2026-09-17 11:21:05,/history,BSE:SENSEX2691769700CE,1,2026-06-09,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:05,/history,BSE:SENSEX2691769700CE,5S,2026-07-10,2026-08-09,1,1,1,200,no_data
2026-09-17 11:21:05,/history,BSE:SENSEX2691769600CE,5S,2026-09-10,2026-09-17,1,1,1,200,no_data
2026-09-17 11:21:06,/history,BSE:SENSEX2691769700PE,5S,2026-07-10,2026-08-09,1,1,1,200,no_data
2026-09-17 11:21:06,/history,BSE:SENSEX2691769700CE,5S,2026-08-10,2026-09-09,1,1,1,200,no_data
2026-09-17 11:21:06,/history,BSE:SENSEX2691769600PE,5S,2026-09-10,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:06,/history,BSE:SENSEX2691769700PE,1,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:06,/history,BSE:SENSEX2691769700PE,5,2026-06-09,2026-09-17,1,1,1,200,ok
2026-09-17 11:21:06,/history,BSE:SENSEX2691769700PE,5S,2026-08-10,2026-09-09,1,1,1,200,no_data
