date,expiry_timestamp,expiry_ist_time,expiry_type,expiry_code
24-06-2031,1940062200,2031-06-24 15:40:00,M,JUN
31-12-2030,1924942200,2030-12-31 15:40:00,M,DEC
25-06-2030,1908612600,2030-06-25 15:40:00,M,JUN
24-12-2029,1892801400,2029-12-24 15:40:00,M,DEC
26-06-2029,1877163000,2029-06-26 15:40:00,M,JUN
26-12-2028,1861438200,2028-12-26 15:40:00,M,DEC
27-06-2028,1845713400,2028-06-27 15:40:00,M,JUN
28-12-2027,1829988600,2027-12-28 15:40:00,M,DEC
29-06-2027,1814263800,2027-06-29 15:40:00,M,JUN
30-03-2027,1806401400,2027-03-30 15:40:00,M,MAR
29-12-2026,1798539000,2026-12-29 15:40:00,M,DEC
23-11-2026,1795428600,2026-11-23 15:40:00,M,NOV
27-10-2026,1793095800,2026-10-27 15:40:00,M,OCT
06-10-2026,1791281400,2026-10-06 15:40:00,W,O06
29-09-2026,1790676600,2026-09-29 15:40:00,M,SEP
22-09-2026,1790071800,2026-09-22 15:40:00,W,922
15-09-2026,1789467000,2026-09-15 15:40:00,W,915
08-09-2026,1788862200,2026-09-08 15:40:00,W,908
