timestamp,endpoint,symbol,resolution,range_from,range_to,date_format,cont_flag,oi_flag,status_code,message
2026-09-08 11:02:59,/history,NSE:NIFTY50-INDEX,5S,2026-05-31,2026-06-30,1,1,1,200,no_data
2026-09-08 11:02:59,/history,NSE:NIFTY50-INDEX,5S,2026-07-01,2026-07-31,1,1,1,200,no_data
2026-09-08 11:03:01,/history,NSE:NIFTY50-INDEX,5S,2026-08-01,2026-08-31,1,1,1,200,ok
2026-09-08 11:03:02,/history,NSE:NIFTY50-INDEX,5S,2026-09-01,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:05,/history,NSE:NIFTY50-INDEX,1,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:06,/history,NSE:NIFTY50-INDEX,5,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:07,/history,NSE:NIFTY50-INDEX,60,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:07,/history,NSE:NIFTY50-INDEX,D,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:09,/history,NSE:NIFTY26SEPFUT,5S,2026-05-31,2026-06-30,1,1,1,200,ok
2026-09-08 11:03:12,/history,NSE:NIFTY26SEPFUT,5S,2026-07-01,2026-07-31,1,1,1,200,ok
2026-09-08 11:03:14,/history,NSE:NIFTY26SEPFUT,5S,2026-08-01,2026-08-31,1,1,1,200,ok
2026-09-08 11:03:15,/history,NSE:NIFTY26SEPFUT,5S,2026-09-01,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:21,/history,NSE:NIFTY26SEPFUT,1,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:22,/history,NSE:NIFTY26SEPFUT,5,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:22,/history,NSE:NIFTY26SEPFUT,60,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:23,/history,NSE:NIFTY26SEPFUT,D,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:23,/history,NSE:NIFTY2690822650CE,5S,2026-05-31,2026-06-30,1,1,1,200,no_data
2026-09-08 11:03:23,/history,NSE:NIFTY2690822650CE,1,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:23,/history,NSE:NIFTY2690822650CE,5,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:23,/history,NSE:NIFTY2690822650PE,5S,2026-05-31,2026-06-30,1,1,1,200,no_data
2026-09-08 11:03:23,/history,NSE:NIFTY2690822650PE,1,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:23,/history,NSE:NIFTY2690822650CE,5S,2026-07-01,2026-07-31,1,1,1,200,no_data
2026-09-08 11:03:23,/history,NSE:NIFTY2690822650PE,5,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:23,/history,NSE:NIFTY2690822650PE,5S,2026-07-01,2026-07-31,1,1,1,200,no_data
2026-09-08 11:03:23,/history,NSE:NIFTY2690822650CE,60,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:24,/history,NSE:NIFTY2690822650PE,60,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:24,/history,NSE:NIFTY2690822650PE,D,2026-05-31,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:24,/history,NSE:NIFTY2690822650CE,D,2026-05-31,2026-09-08,1,1,1,200,no_data
2026-09-08 11:03:24,/history,NSE:NIFTY2690822650CE,5S,2026-08-01,2026-08-31,1,1,1,200,no_data
2026-09-08 11:03:24,/history,NSE:NIFTY2690822700CE,5S,2026-05-31,2026-06-30,1,1,1,200,no_data
2026-09-08 11:03:24,/history,NSE:NIFTY2690822700PE,5S,2026-05-31,2026-06-30,1,1,1,200,no_data
2026-09-08 11:03:24,/history,NSE:NIFTY2690822700CE,1,2026-05-31,2026-09-08,1,1,1,200,no_data
2026-09-08 11:03:24,/history,NSE:NIFTY2690822650PE,5S,2026-08-01,2026-08-31,1,1,1,200,ok
2026-09-08 11:03:25,/history,NSE:NIFTY2690822650CE,5S,2026-09-01,2026-09-08,1,1,1,200,ok
2026-09-08 11:03:25,/history,NSE:NIFTY2690822700PE,5S,2026-07-01,2026-07-31,1,1,1,200,no_data
2026-09-08 11:03:25,/history,NSE:NIFTY2690822700CE,5S,2026-07-01,2026-07-31,1,1,1,200,no_data
