[2026-09-06 17:38:48] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=5S, from=2026-05-29, to=2026-06-28 | RESULT: [200] no_data
[2026-09-06 17:38:48] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=5S, from=2026-06-29, to=2026-07-29 | RESULT: [200] no_data
[2026-09-06 17:38:50] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=5S, from=2026-07-30, to=2026-08-29 | RESULT: [200] ok
[2026-09-06 17:38:51] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=5S, from=2026-08-30, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:38:53] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=1, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:38:54] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=5, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:38:55] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=60, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:38:55] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=D, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:38:57] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=5S, from=2026-05-29, to=2026-06-28 | RESULT: [200] ok
[2026-09-06 17:39:00] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=5S, from=2026-06-29, to=2026-07-29 | RESULT: [200] ok
[2026-09-06 17:39:02] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=5S, from=2026-07-30, to=2026-08-29 | RESULT: [200] ok
[2026-09-06 17:39:04] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=5S, from=2026-08-30, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:09] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=1, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:10] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=5, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:10] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=60, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:10] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=D, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:11] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900CE, res=5S, from=2026-05-29, to=2026-06-28 | RESULT: [200] no_data
[2026-09-06 17:39:11] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900CE, res=5, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:11] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900CE, res=5S, from=2026-06-29, to=2026-07-29 | RESULT: [200] no_data
[2026-09-06 17:39:11] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900CE, res=1, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:11] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900PE, res=1, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:11] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900PE, res=5, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:11] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900PE, res=5S, from=2026-05-29, to=2026-06-28 | RESULT: [200] no_data
[2026-09-06 17:39:11] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900CE, res=60, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:12] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900CE, res=D, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:12] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900PE, res=60, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:12] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900PE, res=D, from=2026-05-29, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:12] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900PE, res=5S, from=2026-06-29, to=2026-07-29 | RESULT: [200] no_data
[2026-09-06 17:39:12] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900CE, res=5S, from=2026-07-30, to=2026-08-29 | RESULT: [200] ok
[2026-09-06 17:39:13] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900CE, res=5S, from=2026-08-30, to=2026-09-06 | RESULT: [200] ok
[2026-09-06 17:39:13] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900PE, res=5S, from=2026-07-30, to=2026-08-29 | RESULT: [200] ok
[2026-09-06 17:39:14] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY2690823900PE, res=5S, from=2026-08-30, to=2026-09-06 | RESULT: [200] ok
