[2026-09-06 22:07:32] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=5S, from=2026-05-29, to=2026-06-28, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] no_data
[2026-09-06 22:07:33] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=5S, from=2026-06-29, to=2026-07-29, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] no_data
[2026-09-06 22:07:36] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=5S, from=2026-07-30, to=2026-08-29, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] ok
[2026-09-06 22:07:36] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=5S, from=2026-08-30, to=2026-09-06, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] ok
[2026-09-06 22:07:41] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=1, from=2026-05-29, to=2026-09-06, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] ok
[2026-09-06 22:07:42] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=5, from=2026-05-29, to=2026-09-06, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] ok
[2026-09-06 22:07:43] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=60, from=2026-05-29, to=2026-09-06, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] ok
[2026-09-06 22:07:43] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY50-INDEX, res=D, from=2026-05-29, to=2026-09-06, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] ok
[2026-09-06 22:07:45] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=5S, from=2026-05-29, to=2026-06-28, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] ok
[2026-09-06 22:07:48] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=5S, from=2026-06-29, to=2026-07-29, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] ok
[2026-09-06 22:07:50] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=5S, from=2026-07-30, to=2026-08-29, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] ok
[2026-09-06 22:07:51] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=5S, from=2026-08-30, to=2026-09-06, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] ok
[2026-09-06 22:07:56] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=1, from=2026-05-29, to=2026-09-06, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] ok
[2026-09-06 22:07:57] ENDPOINT: /history | PARAMS: symbol=NSE:NIFTY26SEPFUT, res=5, from=2026-05-29, to=2026-09-06, date_format=1, cont_flag=1, oi_flag=1 | RESULT: [200] ok
