timestamp,endpoint,symbol,resolution,range_from,range_to,date_format,cont_flag,oi_flag,status_code,message
2026-09-06 22:32:27,/history,NSE:NIFTY50-INDEX,5S,2026-05-29,2026-06-28,1,1,1,200,no_data
2026-09-06 22:32:28,/history,NSE:NIFTY50-INDEX,5S,2026-06-29,2026-07-29,1,1,1,200,no_data
2026-09-06 22:32:30,/history,NSE:NIFTY50-INDEX,5S,2026-07-30,2026-08-29,1,1,1,200,ok
2026-09-06 22:32:30,/history,NSE:NIFTY50-INDEX,5S,2026-08-30,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:32,/history,NSE:NIFTY50-INDEX,1,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:33,/history,NSE:NIFTY50-INDEX,5,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:33,/history,NSE:NIFTY50-INDEX,60,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:34,/history,NSE:NIFTY50-INDEX,D,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:36,/history,NSE:NIFTY26SEPFUT,5S,2026-05-29,2026-06-28,1,1,1,200,ok
2026-09-06 22:32:39,/history,NSE:NIFTY26SEPFUT,5S,2026-06-29,2026-07-29,1,1,1,200,ok
2026-09-06 22:32:41,/history,NSE:NIFTY26SEPFUT,5S,2026-07-30,2026-08-29,1,1,1,200,ok
2026-09-06 22:32:42,/history,NSE:NIFTY26SEPFUT,5S,2026-08-30,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:46,/history,NSE:NIFTY26SEPFUT,1,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:47,/history,NSE:NIFTY26SEPFUT,5,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:47,/history,NSE:NIFTY26SEPFUT,60,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:47,/history,NSE:NIFTY26SEPFUT,D,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:48,/history,NSE:NIFTY2690823900CE,1,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:48,/history,NSE:NIFTY2690823900PE,5S,2026-05-29,2026-06-28,1,1,1,200,no_data
2026-09-06 22:32:48,/history,NSE:NIFTY2690823900CE,5S,2026-05-29,2026-06-28,1,1,1,200,no_data
2026-09-06 22:32:48,/history,NSE:NIFTY2690823900CE,5,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:48,/history,NSE:NIFTY2690823900PE,1,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:48,/history,NSE:NIFTY2690823900PE,5,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:48,/history,NSE:NIFTY2690823900PE,5S,2026-06-29,2026-07-29,1,1,1,200,no_data
2026-09-06 22:32:48,/history,NSE:NIFTY2690823900CE,5S,2026-06-29,2026-07-29,1,1,1,200,no_data
2026-09-06 22:32:49,/history,NSE:NIFTY2690823900CE,D,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:49,/history,NSE:NIFTY2690823900PE,60,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:49,/history,NSE:NIFTY2690823900CE,60,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:49,/history,NSE:NIFTY2690823900PE,D,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:50,/history,NSE:NIFTY2690823900PE,5S,2026-07-30,2026-08-29,1,1,1,200,ok
2026-09-06 22:32:50,/history,NSE:NIFTY2690823900CE,5S,2026-07-30,2026-08-29,1,1,1,200,ok
2026-09-06 22:32:51,/history,NSE:NIFTY2690823900CE,5S,2026-08-30,2026-09-06,1,1,1,200,ok
2026-09-06 22:32:51,/history,NSE:NIFTY2690823900PE,5S,2026-08-30,2026-09-06,1,1,1,200,ok
