timestamp,endpoint,symbol,resolution,range_from,range_to,date_format,cont_flag,oi_flag,status_code,message
2026-09-06 22:53:46,/history,NSE:NIFTY50-INDEX,5S,2026-05-29,2026-06-28,1,1,1,200,no_data
2026-09-06 22:53:46,/history,NSE:NIFTY50-INDEX,5S,2026-06-29,2026-07-29,1,1,1,200,no_data
2026-09-06 22:53:48,/history,NSE:NIFTY50-INDEX,5S,2026-07-30,2026-08-29,1,1,1,200,ok
2026-09-06 22:53:49,/history,NSE:NIFTY50-INDEX,5S,2026-08-30,2026-09-06,1,1,1,200,ok
2026-09-06 22:53:52,/history,NSE:NIFTY50-INDEX,1,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:53:53,/history,NSE:NIFTY50-INDEX,5,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:53:53,/history,NSE:NIFTY50-INDEX,60,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:53:54,/history,NSE:NIFTY50-INDEX,D,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:53:56,/history,NSE:NIFTY26SEPFUT,5S,2026-05-29,2026-06-28,1,1,1,200,ok
2026-09-06 22:53:58,/history,NSE:NIFTY26SEPFUT,5S,2026-06-29,2026-07-29,1,1,1,200,ok
2026-09-06 22:54:01,/history,NSE:NIFTY26SEPFUT,5S,2026-07-30,2026-08-29,1,1,1,200,ok
2026-09-06 22:54:01,/history,NSE:NIFTY26SEPFUT,5S,2026-08-30,2026-09-06,1,1,1,200,ok
2026-09-06 22:54:07,/history,NSE:NIFTY26SEPFUT,1,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:54:08,/history,NSE:NIFTY26SEPFUT,5,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:54:08,/history,NSE:NIFTY26SEPFUT,60,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:54:09,/history,NSE:NIFTY26SEPFUT,D,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:54:09,/history,NSE:NIFTY2690023900PE,5S,2026-05-29,2026-06-28,1,1,1,-300,Invalid symbol provided
2026-09-06 22:54:09,/history,NSE:NIFTY2690023900PE,5,2026-05-29,2026-09-06,1,1,1,-300,Invalid symbol provided
2026-09-06 22:54:09,/history,NSE:NIFTY2690023900CE,1,2026-05-29,2026-09-06,1,1,1,-300,Invalid symbol provided
2026-09-06 22:54:09,/history,NSE:NIFTY2690023900CE,5S,2026-05-29,2026-06-28,1,1,1,-300,Invalid symbol provided
2026-09-06 22:54:09,/history,NSE:NIFTY2690023900CE,5,2026-05-29,2026-09-06,1,1,1,-300,Invalid symbol provided
2026-09-06 22:54:09,/history,NSE:NIFTY2690023900PE,1,2026-05-29,2026-09-06,1,1,1,-300,Invalid symbol provided
2026-09-06 22:54:09,/history,NSE:NIFTY2690023900CE,60,2026-05-29,2026-09-06,1,1,1,-300,Invalid symbol provided
2026-09-06 22:54:09,/history,NSE:NIFTY2690023900PE,60,2026-05-29,2026-09-06,1,1,1,-300,Invalid symbol provided
2026-09-06 22:54:10,/history,NSE:NIFTY2690023900CE,D,2026-05-29,2026-09-06,1,1,1,-300,Invalid symbol provided
2026-09-06 22:54:10,/history,NSE:NIFTY2690023900PE,D,2026-05-29,2026-09-06,1,1,1,-300,Invalid symbol provided
